dst,duration_s,episode,flow_id,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,10,1,e1-h2-h4-g1,,,5002,tcp,h2,9.61,2026-05-11T09:54:44.915942Z
h5,10,1,e1-h1-h5-g0,0.145,0.23,6001,udp,h1,,2026-05-11T09:54:44.916481Z
h4,10,1,e1-h2-h4-g1,0.116,1.1,6002,udp,h2,,2026-05-11T09:54:44.917058Z
h5,10,1,e1-h1-h5-g0,,,5001,tcp,h1,4.91,2026-05-11T09:54:44.917268Z
h4,10,2,e2-h2-h4-g1,0.106,0.24,6002,udp,h2,,2026-05-11T09:54:55.074985Z
h5,10,2,e2-h1-h5-g0,0.105,0.41,6001,udp,h1,,2026-05-11T09:54:55.299770Z
h4,10,2,e2-h2-h4-g1,,,5002,tcp,h2,5.05,2026-05-11T09:54:56.059336Z
h5,10,2,e2-h1-h5-g0,,,5001,tcp,h1,5.31,2026-05-11T09:54:56.501365Z
h5,10,3,e3-h1-h5-g0,0.098,0.38,6001,udp,h1,,2026-05-11T09:55:06.669173Z
h4,10,3,e3-h2-h4-g1,0.107,0.24,6002,udp,h2,,2026-05-11T09:55:07.086810Z
h4,10,3,e3-h2-h4-g1,,,5002,tcp,h2,5.25,2026-05-11T09:55:07.859123Z
h5,10,3,e3-h1-h5-g0,,,5001,tcp,h1,6.21,2026-05-11T09:55:08.562793Z
