selection,src,dst,pair,path
1,h4,h9,h4->h9,s6 -> s1 -> s7
2,h1,h12,h1->h12,s5 -> s2 -> s8
3,h2,h11,h2->h11,s5 -> s2 -> s8
4,h4,h9,h4->h9,s6 -> s2 -> s7
5,h1,h12,h1->h12,s5 -> s1 -> s8
6,h2,h11,h2->h11,s5 -> s1 -> s8
7,h2,h11,h2->h11,s5 -> s3 -> s8
8,h1,h12,h1->h12,s5 -> s3 -> s8
9,h4,h9,h4->h9,s6 -> s4 -> s7
10,h1,h12,h1->h12,s5 -> s4 -> s8
11,h2,h11,h2->h11,s5 -> s4 -> s8
12,h4,h9,h4->h9,s6 -> s3 -> s7
13,h2,h11,h2->h11,s5 -> s8
14,h4,h9,h4->h9,s6 -> s7
15,h1,h12,h1->h12,s5 -> s8
16,h4,h9,h4->h9,s6 -> s1 -> s7
17,h1,h12,h1->h12,s5 -> s2 -> s8
18,h2,h11,h2->h11,s5 -> s2 -> s8
19,h1,h12,h1->h12,s5 -> s1 -> s8
20,h2,h11,h2->h11,s5 -> s1 -> s8
21,h4,h9,h4->h9,s6 -> s2 -> s7
22,h2,h11,h2->h11,s5 -> s3 -> s8
23,h1,h12,h1->h12,s5 -> s3 -> s8
24,h4,h9,h4->h9,s6 -> s4 -> s7
25,h4,h9,h4->h9,s6 -> s3 -> s7
26,h1,h12,h1->h12,s5 -> s4 -> s8
27,h2,h11,h2->h11,s5 -> s4 -> s8
28,h2,h11,h2->h11,s5 -> s8
29,h4,h9,h4->h9,s6 -> s7
30,h1,h12,h1->h12,s5 -> s8
31,h1,h12,h1->h12,s5 -> s1 -> s8
32,h4,h9,h4->h9,s6 -> s4 -> s7
33,h2,h11,h2->h11,s5 -> s3 -> s8
34,h1,h12,h1->h12,s5 -> s4 -> s8
35,h4,h9,h4->h9,s6 -> s2 -> s7
36,h2,h11,h2->h11,s5 -> s8
37,h4,h9,h4->h9,s6 -> s4 -> s7
38,h2,h11,h2->h11,s5 -> s2 -> s8
39,h1,h12,h1->h12,s5 -> s3 -> s8
40,h1,h12,h1->h12,s5 -> s1 -> s8
41,h4,h9,h4->h9,s6 -> s2 -> s7
42,h2,h11,h2->h11,s5 -> s4 -> s8
43,h4,h9,h4->h9,s6 -> s4 -> s7
44,h2,h11,h2->h11,s5 -> s2 -> s8
45,h1,h12,h1->h12,s5 -> s3 -> s8
46,h4,h9,h4->h9,s6 -> s1 -> s7
47,h2,h11,h2->h11,s5 -> s4 -> s8
48,h1,h12,h1->h12,s5 -> s8
49,h2,h11,h2->h11,s5 -> s1 -> s8
50,h1,h12,h1->h12,s5 -> s2 -> s8
51,h4,h9,h4->h9,s6 -> s1 -> s7
52,h4,h9,h4->h9,s6 -> s3 -> s7
53,h2,h11,h2->h11,s5 -> s4 -> s8
54,h1,h12,h1->h12,s5 -> s8
55,h2,h11,h2->h11,s5 -> s3 -> s8
56,h1,h12,h1->h12,s5 -> s2 -> s8
57,h4,h9,h4->h9,s6 -> s4 -> s7
58,h4,h9,h4->h9,s6 -> s3 -> s7
59,h1,h12,h1->h12,s5 -> s8
60,h2,h11,h2->h11,s5 -> s1 -> s8
61,h2,h11,h2->h11,s5 -> s2 -> s8
62,h4,h9,h4->h9,s6 -> s1 -> s7
63,h1,h12,h1->h12,s5 -> s4 -> s8
64,h1,h12,h1->h12,s5 -> s3 -> s8
65,h4,h9,h4->h9,s6 -> s2 -> s7
66,h2,h11,h2->h11,s5 -> s8
67,h1,h12,h1->h12,s5 -> s4 -> s8
68,h4,h9,h4->h9,s6 -> s7
69,h2,h11,h2->h11,s5 -> s1 -> s8
70,h2,h11,h2->h11,s5 -> s8
71,h1,h12,h1->h12,s5 -> s3 -> s8
72,h4,h9,h4->h9,s6 -> s2 -> s7
